Pathogen Species,GA,species,GA,size,gc,genes
Sewage-associated circular DNA virus,,Sewage-associated circular DNA virus,,,,
Shackleton virus,0,Shackleton virus,,,,
Sharp-tailed sandpiper Picornavirus B-like,0,Sharp-tailed sandpiper Picornavirus B-like,,,,
Shelduck calicivirus,0,Shelduck calicivirus,,,,
Shelduck picobirnavirus I,0,Shelduck picobirnavirus I,,,,
Shelduck picobirnavirus II,0,Shelduck picobirnavirus II,,,,
Shelduck picobirnavirus III,0,Shelduck picobirnavirus III,,,,
Shelduck rhabdovirus,0,Shelduck rhabdovirus,,,,
Shelvocke virus,0,Shelvocke virus,,,,
Shirase virus,0,Shirase virus,,,,
Shorebird deltacoronavirus,,Shorebird deltacoronavirus,,,,
Short beak and dwarfism syndrome virus,,Short beak and dwarfism syndrome virus,,,,
Siadenovirus sp.,,Siadenovirus sp.,GCA_024930225.1,26075.0,38.5,
Sicinivirus A,GCF_001443985.1,Sicinivirus A,GCF_001443985.1,9809.0,55.5,1
Sicinivirus sp.,,Sicinivirus sp.,GCF_018583545.1,9471.0,54.5,1
Sindbis virus,,Sindbis virus,GCF_000860545.1,11703.0,51,4
Skua siadenovirus A,GCF_000895055.1,Skua siadenovirus A,GCF_000895055.1,26340.0,34,23
Smacoviridae sp.,GCF_018591145.1,Smacoviridae sp.,GCF_018591145.1,2549.0,52,2
Small anellovirus,0,Small anellovirus,,,,
Smith virus,0,Smith virus,,,,
Smooth billed ani adenovirus 1,0,Smooth billed ani adenovirus 1,,,,
Somov virus,0,Somov virus,,,,
South polar skua adenovirus-2,0,South polar skua adenovirus-2,,,,
South polar skua adenovirus-3,0,South polar skua adenovirus-3,,,,
South polar skua adenovirus-4,0,South polar skua adenovirus-4,,,,
South polar skua adenovirus-5,0,South polar skua adenovirus-5,,,,
Sparrow coronavirus HKU17,GCF_000868165.1,Sparrow coronavirus HKU17,GCF_000868165.1,26083.0,44.5,9
Sparrow deltacoronavirus,0,Sparrow deltacoronavirus,GCA_031173895.1,25796.0,43.5,9
Spata circovirus,,Spata circovirus,,,,
Spheniscid alphaherpesvirus 2,,Spheniscid alphaherpesvirus 2,,,,
Spheniscus humboldti poxvirus,0,Spheniscus humboldti poxvirus,,,,
Strigid herpesvirus 1,0,Strigid herpesvirus 1,,,,
Strix aluco herpesvirus,,Strix aluco herpesvirus,,,,
Strix nebulosa herpesvirus,,Strix nebulosa herpesvirus,,,,
Strix uralensis herpesvirus,,Strix uralensis herpesvirus,,,,
Stroud virus,0,Stroud virus,,,,
Sturnus papillomavirus,,Sturnus papillomavirus,,,,
Sulid herpesvirus 1,0,Sulid herpesvirus 1,,,,
Sunrhavirus alexandria,GCF_023156065.1,Sunrhavirus alexandria,GCF_023156065.1,10846.0,37,9
Sunrhavirus bimbo,,Sunrhavirus bimbo,,,,
Sunrhavirus garba,GCF_013088625.1,Sunrhavirus garba,GCF_013088625.1,10821.0,38.5,7
Sunrhavirus kolongo,,Sunrhavirus kolongo,,,,
Sunrhavirus matariya,GCF_023156095.1,Sunrhavirus matariya,GCF_023156095.1,10991.0,38,7
Sunrhavirus nasoule,GCF_023155965.1,Sunrhavirus nasoule,GCF_023155965.1,10977.0,39.5,7
Sunrhavirus ouango,GCF_023156025.1,Sunrhavirus ouango,GCF_023156025.1,10773.0,35.5,8
Sunrhavirus sandjimba,0,Sunrhavirus sandjimba,,,,
Sunrhavirus sunguru,GCF_000925655.1,Sunrhavirus sunguru,GCF_000925655.1,11056.0,40,7
Swan goose coronavirus,,Swan goose coronavirus,,,,
Sylvia atricapilla herpesvirus,0,Sylvia atricapilla herpesvirus,,,,
Syrmaticus ellioti CRESS-DNA-virus sp.,,Syrmaticus ellioti CRESS-DNA-virus sp.,,,,
Syrmaticus ellioti parvo-like hybrid virus,,Syrmaticus ellioti parvo-like hybrid virus,,,,
Syrmaticus reevesii CRESS-DNA-virus sp.,,Syrmaticus reevesii CRESS-DNA-virus sp.,,,,
Tarbeyev virus,0,Tarbeyev virus,,,,
Tarsiger cyanurus CRESS-DNA-virus sp.,,Tarsiger cyanurus CRESS-DNA-virus sp.,,,,
Tarsiger cyanurus Genomoviridae sp.,,Tarsiger cyanurus Genomoviridae sp.,,,,
Tarsiger cyanurus parvoviridae sp.,,Tarsiger cyanurus parvoviridae sp.,,,,
Tawny frogmouth aviadenovirus A,,Tawny frogmouth aviadenovirus A,,,,
Telmo virus,0,Telmo virus,,,,
Temminck's stint calicivirus,,Temminck's stint calicivirus,GCA_031319925.1,8575.0,51.5,2
Tern adenovirus,,Tern adenovirus,,,,
Tern atadenovirus 1,,Tern atadenovirus 1,GCA_031308105.1,31334.0,34,32
Tetrao urogallus alphaherpesvirus 1,,Tetrao urogallus alphaherpesvirus 1,,,,
Thalassarchid herpesvirus 1,0,Thalassarchid herpesvirus 1,,,,
Thetapapillomavirus 1,GCF_000841825.1,Thetapapillomavirus 1,GCF_000841825.1,7304.0,49.5,6
Thinornis picornavirus,,Thinornis picornavirus,,,,
Thrush coronavirus HKU12-600,GCF_000883335.1,Thrush coronavirus HKU12-600,GCF_000883335.1,26396.0,38,9
Tibet bird virus 1,,Tibet bird virus 1,,,,
Tibet bird virus 2,,Tibet bird virus 2,,,,
Tick-associated DNA virus,,Tick-associated DNA virus,,,,
Tick-associated circular DNA virus,,Tick-associated circular DNA virus,GCA_031315805.1,2535.0,47.5,
Tinamou hepatitis B virus,GCF_002219325.1,Tinamou hepatitis B virus,GCF_002219325.1,3024.0,43.5,5
Tolstikov virus,0,Tolstikov virus,,,,
Torque teno virus,,Torque teno virus,GCF_018580245.1,3649.0,49,4
Totiviridae sp.,,Totiviridae sp.,GCA_023571715.1,5261.0,68.5,1
Toutouwai hepatovirus,,Toutouwai hepatovirus,,,,
Tragopan caboti CRESS-DNA-virus sp.,,Tragopan caboti CRESS-DNA-virus sp.,,,,
Treisepsilonpapillomavirus 1,GCF_000920595.1,Treisepsilonpapillomavirus 1,GCF_000920595.1,7637.0,49.5,7
Treiszetapapillomavirus 1,GCF_000922895.1,Treiszetapapillomavirus 1,GCF_000922895.1,8132.0,48,12
Tremovirus A,,Tremovirus A,,,,
Treshnikov virus,0,Treshnikov virus,,,,
Tropical screech owl adenovirus 1,0,Tropical screech owl adenovirus 1,,,,
Tunzelmann virus,0,Tunzelmann virus,,,,
Tupavirus durham,GCF_002815915.1,Tupavirus durham,GCF_002815915.1,11092.0,43.5,7
Turdid alphaherpesvirus 1,,Turdid alphaherpesvirus 1,,,,
Turdus hortulorum CRESS-DNA-virus sp.,,Turdus hortulorum CRESS-DNA-virus sp.,,,,
Turdus hortulorum parvoviridae sp.,,Turdus hortulorum parvoviridae sp.,,,,
Turdus merula herpesvirus,,Turdus merula herpesvirus,,,,
Turdus naumanni CRESS-DNA-virus sp.,,Turdus naumanni CRESS-DNA-virus sp.,,,,
Turdus naumanni Ichthamaparvovirus,,Turdus naumanni Ichthamaparvovirus,,,,
Turdus naumanni parvoviridae sp.,,Turdus naumanni parvoviridae sp.,,,,
Turdus pallidus Chaphamaparvovirus,,Turdus pallidus Chaphamaparvovirus,,,,
Turdus pallidus parvoviridae sp.,,Turdus pallidus parvoviridae sp.,,,,
Turkey astrovirus,GCF_000857825.1,Turkey astrovirus,GCF_000857825.1,7003.0,43.5,2
Turkey astrovirus 3,0,Turkey astrovirus 3,,,,
Turkey aviadenovirus 2,0,Turkey aviadenovirus 2,,,,
Turkey aviadenovirus B,GCF_000888635.1,Turkey aviadenovirus B,GCF_000888635.1,45413.0,67,37
Turkey aviadenovirus C,GCF_000912195.1,Turkey aviadenovirus C,GCF_000912195.1,42940.0,48.5,33
Turkey aviadenovirus D,GCF_000913655.1,Turkey aviadenovirus D,GCF_000913655.1,43686.0,51.5,37
Turkey parvovirus Croatia/Munt/2010,0,Turkey parvovirus Croatia/Munt/2010,,,,
Turkey parvovirus Tu33/2010/HUN,0,Turkey parvovirus Tu33/2010/HUN,,,,
Turkey parvovirus Tu762/2009/HUN,0,Turkey parvovirus Tu762/2009/HUN,,,,
Turkey picobirnavirus,0,Turkey picobirnavirus,,,,
Turkey picornavirus,0,Turkey picornavirus,,,,
Turkey siadenovirus A,,Turkey siadenovirus A,,,,
Turkeypox virus,GCF_001431935.1,Turkeypox virus,GCF_001431935.1,188534.0,30,171
Tyabin virus,0,Tyabin virus,,,,
Tymoviridae sp. XZN137671,,Tymoviridae sp. XZN137671,,,,
Ui-te-Rangiora virus,0,Ui-te-Rangiora virus,,,,
Umatilla virus,GCF_000923315.1,Umatilla virus,GCF_000923315.1,19402.0,41,10
Uukuvirus uriae,GCF_013086475.1,Uukuvirus uriae,GCF_013086475.1,11455.0,42.5,4
Varley virus,0,Varley virus,,,,
Venezuelan equine encephalitis virus,0,Venezuelan equine encephalitis virus,GCF_002889695.1,11447.0,50,6
Vespucci virus,0,Vespucci virus,,,,
Virginian WCV avipoxvirus,0,Virginian WCV avipoxvirus,,,,
Vultur gryphus poxvirus,0,Vultur gryphus poxvirus,,,,
Vulture herpesvirus,0,Vulture herpesvirus,,,,
Waterbird gammacoronavirus 1,,Waterbird gammacoronavirus 1,,,,
Waterwitch virus,,Waterwitch virus,,,,
Weivirus-like virus sp.,0,Weivirus-like virus sp.,,,,
Wendell virus,0,Wendell virus,,,,
Western equine encephalitis virus,0,Western equine encephalitis virus,GCF_002889215.1,11562.0,48.5,2
Western jackdaw circovirus,,Western jackdaw circovirus,,,,
Whistler virus,,Whistler virus,,,,
White-eye coronavirus HKU16,GCF_000896875.1,White-eye coronavirus HKU16,GCF_000896875.1,26041.0,40,8
White-rumped seedeater circovirus,,White-rumped seedeater circovirus,,,,
WigFec circovirus 1,GCF_029886425.1,WigFec circovirus 1,GCF_029886425.1,1723.0,51,2
WigFec circovirus 2,GCF_029886435.1,WigFec circovirus 2,GCF_029886435.1,1821.0,48,2
Wigeon coronavirus HKU20,GCF_000895415.1,Wigeon coronavirus HKU20,GCF_000895415.1,26227.0,39.5,10
Wigfec virus K19_221,,Wigfec virus K19_221,GCA_031321275.1,3789.0,46.5,
Wigfec virus K19_227,,Wigfec virus K19_227,GCA_031320975.1,3714.0,39,
Wigfec virus K19_259,,Wigfec virus K19_259,GCA_031321285.1,3393.0,37.5,
Wigfec virus K19_292,,Wigfec virus K19_292,GCA_031321135.1,3112.0,38.5,
Wigfec virus K19_327,,Wigfec virus K19_327,GCA_031321295.1,2948.0,44.5,
Wigfec virus K19_346,,Wigfec virus K19_346,GCA_031321145.1,2885.0,38,
Wigfec virus K19_385,,Wigfec virus K19_385,GCA_031321155.1,2661.0,37,
Wigfec virus K19_426,,Wigfec virus K19_426,GCA_031320985.1,2412.0,43,
Wigfec virus K19_432,,Wigfec virus K19_432,GCA_031320995.1,2388.0,43,
Wigfec virus K19_435,,Wigfec virus K19_435,GCA_031321405.1,2375.0,51,
Wigfec virus K19_443,,Wigfec virus K19_443,GCA_031321305.1,2360.0,46,
Wigfec virus K19_448,,Wigfec virus K19_448,GCA_031321355.1,2327.0,38.5,
Wigfec virus K19_450,,Wigfec virus K19_450,GCA_031321005.1,2318.0,43.5,
Wigfec virus K19_454,,Wigfec virus K19_454,GCA_031321365.1,2301.0,46.5,
Wigfec virus K19_467,,Wigfec virus K19_467,GCA_031321415.1,2232.0,45.5,
Wigfec virus K19_469,,Wigfec virus K19_469,GCA_031321395.1,2231.0,50.5,
Wigfec virus K19_482,,Wigfec virus K19_482,GCA_031321385.1,2200.0,51.5,
Wigfec virus K19_484,,Wigfec virus K19_484,GCA_031321015.1,2197.0,51,
Wigfec virus K19_486,,Wigfec virus K19_486,GCA_031321025.1,2194.0,53.5,
Wigfec virus K19_493,,Wigfec virus K19_493,GCA_031321315.1,2170.0,45,
Wigfec virus K19_494,,Wigfec virus K19_494,GCA_031321035.1,2155.0,50,
Wigfec virus K19_511,,Wigfec virus K19_511,GCA_031321045.1,2108.0,50.5,
Wigfec virus K19_513,,Wigfec virus K19_513,GCA_031321375.1,2104.0,44.5,
Wigfec virus K19_521,,Wigfec virus K19_521,GCA_031321055.1,2090.0,34,
Wigfec virus K19_525,,Wigfec virus K19_525,GCA_031321165.1,2086.0,32,
Wigfec virus K19_526,,Wigfec virus K19_526,GCA_031321325.1,2084.0,42,
Wigfec virus K19_545,,Wigfec virus K19_545,GCA_031321065.1,2037.0,41.5,
Wigfec virus K19_555,,Wigfec virus K19_555,GCA_031321175.1,2020.0,45.5,
Wigfec virus K19_558,,Wigfec virus K19_558,GCA_031321185.1,2010.0,46.5,
Wigfec virus K19_561,,Wigfec virus K19_561,GCA_031321195.1,2004.0,31.5,
Wigfec virus K19_562,,Wigfec virus K19_562,GCA_031321075.1,1999.0,47.5,
Wigfec virus K19_571,,Wigfec virus K19_571,GCA_031321205.1,1986.0,39,
Wigfec virus K19_576,,Wigfec virus K19_576,GCA_031321335.1,1981.0,52,
Wigfec virus K19_588,,Wigfec virus K19_588,GCA_031321085.1,1934.0,41.5,
Wigfec virus K19_593,,Wigfec virus K19_593,GCA_031321215.1,1929.0,37.5,
Wigfec virus K19_598,,Wigfec virus K19_598,GCA_031321095.1,1920.0,40,
Wigfec virus K19_600,,Wigfec virus K19_600,GCA_031321225.1,1916.0,37,
Wigfec virus K19_605,,Wigfec virus K19_605,GCA_031321105.1,1903.0,42,
Wigfec virus K19_615,,Wigfec virus K19_615,GCA_031321345.1,1865.0,35.5,
Wigfec virus K19_623,,Wigfec virus K19_623,GCA_031321115.1,1840.0,30.5,
Wigfec virus K19_645,,Wigfec virus K19_645,GCA_031321235.1,1750.0,42.5,
Wigfec virus K19_654,,Wigfec virus K19_654,GCA_031321245.1,1726.0,38,
Wigfec virus K19_658,,Wigfec virus K19_658,GCA_031321125.1,1722.0,37,
Wigfec virus K19_668,,Wigfec virus K19_668,GCA_031321255.1,1702.0,37,
Wigfec virus K19_691,,Wigfec virus K19_691,GCA_031321265.1,1665.0,38.5,
Wilkes virus,0,Wilkes virus,,,,
Wood duck chaphamaparvovirus,,Wood duck chaphamaparvovirus,,,,
Wood duck megrivirus,,Wood duck megrivirus,,,,
Wood pigeon astrovirus,,Wood pigeon astrovirus,,,,
Yaounde-like virus Ave-Ghana/2007,0,Yaounde-like virus Ave-Ghana/2007,,,,
Yellow-eyed penguin gyrovirus,,Yellow-eyed penguin gyrovirus,,,,
Yellow-eyed penguin megrivirus,,Yellow-eyed penguin megrivirus,,,,
Yellow-eyed penguin picornavirus,,Yellow-eyed penguin picornavirus,,,,
Yellow-fronted canary circovirus,,Yellow-fronted canary circovirus,,,,
Zebra finch hepacivirus 1,,Zebra finch hepacivirus 1,,,,
Zebra finch hepacivirus 2,,Zebra finch hepacivirus 2,,,,
Zingilamo virus,,Zingilamo virus,GCA_031320685.1,11687.0,52.5,
Zoothera dauma adenovirus,,Zoothera dauma adenovirus,,,,
bar-headed goose anativirus,,bar-headed goose anativirus,,,,
bar-headed goose hepatovirus,,bar-headed goose hepatovirus,,,,
bar-headed goose megrivirus,,bar-headed goose megrivirus,,,,
black-headed gull deltacoronavirus,,black-headed gull deltacoronavirus,,,,
common gull deltacoronavirus,,common gull deltacoronavirus,,,,
common gull gammacoronavirus,,common gull gammacoronavirus,,,,
cormorant polyomavirus 1,,cormorant polyomavirus 1,GCA_031281625.1,5133.0,47.5,
crane CRESS-DNA virus,,crane CRESS-DNA virus,GCA_031274965.1,2243.0,51.5,
d'Urville virus,0,d'Urville virus,,,,
de Castilla virus,0,de Castilla virus,,,,
de Gerlache virus,0,de Gerlache virus,,,,
de Kerguelen virus,0,de Kerguelen virus,,,,
de Lozier virus,0,de Lozier virus,,,,
de Nodal virus,0,de Nodal virus,,,,
duck egg-reducing syndrome virus,,duck egg-reducing syndrome virus,GCA_031321475.1,9042.0,41.5,
egret CRESS-DNA virus,,egret CRESS-DNA virus,GCA_031275015.1,2216.0,54,
finch CRESS-DNA virus,,finch CRESS-DNA virus,GCA_031275045.1,2366.0,53,
kestrel polyomavirus 1,,kestrel polyomavirus 1,,,,
la Roche virus,0,la Roche virus,,,,
le Maire virus,0,le Maire virus,,,,
psittacine adenovirus 10,,psittacine adenovirus 10,,,,
psittacine adenovirus 8,,psittacine adenovirus 8,,,,
psittacine adenovirus 9,,psittacine adenovirus 9,,,,
robinz virus RP_1123,,robinz virus RP_1123,GCA_031280485.1,1929.0,34.5,
robinz virus RP_1124,,robinz virus RP_1124,GCA_031280535.1,1933.0,34.5,
robinz virus RP_116,,robinz virus RP_116,GCA_031280745.1,2213.0,50,
robinz virus RP_1170,,robinz virus RP_1170,GCF_029886335.1,1846.0,39,2
robinz virus RP_199,,robinz virus RP_199,GCA_031280765.1,2195.0,55.5,
robinz virus RP_212,,robinz virus RP_212,GCA_031280925.1,2114.0,48.5,
robinz virus RP_244,,robinz virus RP_244,GCA_031281065.1,1790.0,44.5,
robinz virus RP_258,,robinz virus RP_258,GCA_031280985.1,2083.0,44.5,
robinz virus RP_259,,robinz virus RP_259,GCF_029886275.1,1916.0,40.5,2
robinz virus RP_326,,robinz virus RP_326,GCA_031280835.1,1982.0,48,
robinz virus RP_327,,robinz virus RP_327,GCA_031281095.1,2573.0,53.5,
robinz virus RP_334,,robinz virus RP_334,GCA_031281165.1,2458.0,49,
robinz virus RP_340,,robinz virus RP_340,GCA_031281185.1,2263.0,45.5,
robinz virus RP_369,,robinz virus RP_369,GCA_031280595.1,2215.0,52,
robinz virus RP_377,,robinz virus RP_377,GCA_031280875.1,2194.0,50.5,
robinz virus RP_380,,robinz virus RP_380,GCA_031280605.1,2219.0,48,
robinz virus RP_382,,robinz virus RP_382,GCA_031281015.1,2224.0,50,
robinz virus RP_384,,robinz virus RP_384,GCA_031280655.1,2218.0,52,
robinz virus RP_385,,robinz virus RP_385,,,,
robinz virus RP_386,,robinz virus RP_386,GCA_031281355.1,2207.0,52,
robinz virus RP_389,,robinz virus RP_389,GCA_031281035.1,2212.0,49.5,
robinz virus RP_390,,robinz virus RP_390,GCA_031280895.1,2141.0,53,
robinz virus RP_393,,robinz virus RP_393,GCA_031280735.1,2190.0,54.5,
robinz virus RP_404,,robinz virus RP_404,GCA_031281205.1,2094.0,47.5,
robinz virus RP_428,,robinz virus RP_428,GCA_031281235.1,2067.0,47,
robinz virus RP_429,,robinz virus RP_429,GCA_031281295.1,2068.0,50.5,
robinz virus RP_493,,robinz virus RP_493,GCF_029886285.1,1939.0,49,2
robinz virus RP_513,,robinz virus RP_513,GCA_031281325.1,1781.0,34,
robinz virus RP_526,,robinz virus RP_526,GCF_029886295.1,1806.0,38.5,2
robinz virus RP_584,,robinz virus RP_584,GCF_029886305.1,1882.0,42,2
robinz virus RP_620,,robinz virus RP_620,GCF_029886315.1,1930.0,34.5,2
robinz virus RP_736,,robinz virus RP_736,GCF_029886325.1,1829.0,39.5,2
robinz virus RP_954,,robinz virus RP_954,GCA_031280465.1,1914.0,40.5,
robinz virus RP_99,,robinz virus RP_99,GCA_031280575.1,2257.0,51.5,
shorebird astrovirus,0,shorebird astrovirus,,,,
shorebird coronavirus,0,shorebird coronavirus,,,,
south polar skua adenovirus-6,0,south polar skua adenovirus-6,,,,
ssDNA virus sp.,,ssDNA virus sp.,,,,
tawny owl-associated circovirus,,tawny owl-associated circovirus,GCA_031314345.1,1745.0,47.5,2
trumpeter swan calicivirus,,trumpeter swan calicivirus,GCA_031321585.1,8368.0,52,2
unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,0,unclassified avian avulavirus strain musk lorikeet/Melbourne/ML22-141263/2014,,,,
unidentified Avipoxvirus,0,unidentified Avipoxvirus,,,,
unidentified adenovirus,0,unidentified adenovirus,GCA_024750155.1,35938.0,55,15
unidentified influenza virus,,unidentified influenza virus,,,,
